Skill,Question 1,Question 2,Question 3,Question 4,Question 5
"Language Fundamentals (Java/Python/Node.js) – variables, data types, memory management, pass by value/reference, garbage collection",Explain pass by value vs pass by reference with examples,What is garbage collection and how does it work?,Explain memory management in your language,What are primitive vs object types?,Explain type coercion and type casting
"OOP Concepts – classes, inheritance, polymorphism, encapsulation, abstraction, SOLID principles",Explain inheritance and its types,What is polymorphism and why is it useful?,Explain encapsulation with example,What are SOLID principles?,How would you design a class hierarchy?
"Data Structures – arrays, linked lists, stacks, queues, trees, graphs, hash tables",When would you use LinkedList vs ArrayList?,Explain binary search tree properties,What is hash collision and how to handle it?,Explain stack vs queue use cases,How do you traverse a graph?
"Algorithms – sorting, searching, recursion, dynamic programming, greedy algorithms, complexity analysis",What is time complexity and space complexity?,Explain Big O notation with examples,What is recursion and when to avoid it?,Explain quick sort vs merge sort,What is dynamic programming approach?
"Database Design – normalization, ER diagrams, relationships, constraints, indexes, query optimization",Explain database normalization (1NF to 3NF),What are ACID properties?,Explain primary key vs foreign key,How do database indexes improve performance?,What is query optimization?
"SQL – SELECT, JOINs, aggregation, subqueries, window functions, transactions",Explain INNER JOIN vs LEFT JOIN vs OUTER JOIN,What are aggregate functions and GROUP BY?,Explain subqueries and when to use them,What are window functions?,How do transactions work with rollback/commit?
"NoSQL – document databases, key-value stores, eventual consistency, CAP theorem, MongoDB basics",Explain SQL vs NoSQL tradeoffs,What is eventual consistency?,Explain CAP theorem,How do you design schema in MongoDB?,What are indexes in NoSQL databases?
"REST API Design – HTTP methods, status codes, versioning, pagination, filtering, error handling",Explain REST principles and constraints,What HTTP status codes indicate what?,How do you version APIs?,What are best practices for pagination?,How do you handle API errors?
"Authentication & Authorization – JWT, OAuth, session-based auth, password hashing, token refresh",Explain JWT structure and how it works,What is the difference between authentication and authorization?,How do you securely store passwords?,Explain OAuth 2.0 flow,When should tokens refresh?
"Security – SQL injection, XSS, CSRF, encryption, SSL/TLS, secrets management",How do you prevent SQL injection?,What are common security vulnerabilities?,Explain symmetric vs asymmetric encryption,How do you manage secrets in production?,What is SSL/TLS handshake?
"Caching – in-memory caching, Redis, cache invalidation, cache patterns, TTL",When should you use caching?,Explain cache invalidation strategies,What are cache patterns (LRU, LFU)?,How does Redis work?,When to use distributed caching?
"Concurrency & Threading – threads, locks, deadlocks, race conditions, thread safety, async/await",Explain threads and processes,What is a race condition and how to prevent it?,What are deadlocks and how to avoid them?,Explain mutex and semaphores,What is thread pooling?
"Microservices – service decomposition, communication, API gateway, service discovery, load balancing",What is microservices architecture?,How do services communicate (REST vs async)?,What is an API gateway?,Explain service discovery,How does load balancing work?
"Message Queues – event streaming, pub-sub, message ordering, RabbitMQ, Kafka, dead letter queues",Explain pub-sub messaging pattern,When do you use message queues?,What is event sourcing?,Explain message ordering guarantees,What are dead letter queues?
"System Design – scaling, availability, consistency, monitoring, capacity planning",Explain horizontal vs vertical scaling,What are strategies for high availability?,How do you design for scalability?,What is consistency in distributed systems?,How do you monitor production systems?
"Deployment & DevOps – CI/CD, containerization, Docker, Kubernetes, logging, monitoring",What is CI/CD pipeline?,How do Docker containers work?,What is Kubernetes and why use it?,Explain blue-green deployment,What logging best practices should you follow?
"Design Patterns – Singleton, Factory, Observer, Strategy, Decorator, Repository Pattern",When would you use Singleton pattern?,Explain Factory pattern benefits,What is the Observer pattern used for?,When should you use Strategy pattern?,What is Repository pattern?
"Testing – unit tests, integration tests, mocking, test coverage, TDD",What should unit tests cover?,Explain mocking and why it's useful,What is integration testing?,How do you measure test coverage?,What is test-driven development?
"Code Quality & Performance – code reviews, documentation, profiling, bottleneck identification",What makes code maintainable?,How do you profile application performance?,What are code review best practices?,How do you identify performance bottlenecks?,What is technical debt?
"Cloud Services – AWS, GCP, Azure basics, services, scaling, deployment",What are main AWS services?,Explain EC2 vs Lambda vs RDS,How do you scale applications in cloud?,What is serverless architecture?,How do you handle data storage in cloud?
