Category,Question,Input (Detailed),Output (Detailed)
EASY,Reverse a String,"Input string: ""hello""","Output string: ""olleh"""
EASY,Find Maximum in Array,"Input array: [3, 7, 2, 9, 1]","Output: 9"
EASY,Count Occurrences,"Input array: [1, 2, 2, 3, 3, 3]","Output: {1: 1, 2: 2, 3: 3}"
EASY,Palindrome Check,"Input string: ""racecar""","Output: true (it is a palindrome)"
EASY,Two Sum,"Input array: [2, 7, 11, 15], target: 9","Output: [0, 1] (indices of 2 and 7)"
MEDIUM,LRU Cache Implementation,"Operations: put(1,1), put(2,2), get(1), put(3,3), get(2) with capacity 2","get(1) returns 1, get(2) returns -1 (evicted)"
MEDIUM,Merge Sorted Arrays,"Input: array1 = [1, 3, 5], array2 = [2, 4, 6]","Output: [1, 2, 3, 4, 5, 6]"
MEDIUM,Find First Duplicate,"Input array: [1, 3, 4, 2, 2]","Output: 2 (first duplicate found)"
MEDIUM,Valid Parentheses,"Input string: ""({[]})""","Output: true (all parentheses properly matched)"
MEDIUM,Longest Substring Without Repeating,"Input string: ""abcabcbb""","Output: 3 (substring ""abc"")"
MEDIUM,Group Anagrams,"Input: [""eat"", ""tea"", ""ate"", ""tan"", ""nat""]","Output: [[""eat"", ""tea"", ""ate""], [""tan"", ""nat""]]"
HARD,Implement LRU Cache from scratch,"capacity = 3, operations: put(1,1), put(2,2), put(3,3), get(1), put(4,4)","get(1)=1, key 2 evicted, get(2)=-1"
HARD,Binary Tree Level Order Traversal,"Input: Tree with nodes 3,9,20,15,7","Output: [[3], [9, 20], [15, 7]] (level by level)"
HARD,Longest Increasing Subsequence,"Input array: [10, 9, 2, 5, 3, 7, 101, 18]","Output: 4 (subsequence [2, 3, 7, 101])"
HARD,Word Ladder,"start = ""hit"", end = ""cog"", wordList = [""hot"", ""dot"", ""dog"", ""lot"", ""log"", ""cog""]","Output: 5 (hit → hot → dot → dog → cog)"
HARD,Regular Expression Matching,"pattern = ""a*b?.c"", string = ""aabxc""","Output: true (pattern matches string)"
HARD - System Design,Design a URL Shortener,"Input: long URL ""https://www.example.com/very/long/path""","Output: ""https://short.url/abc123"" with collision handling and storage design"
HARD - System Design,Design a Rate Limiter,"Requests: 10 requests in 5 seconds, limit = 5 per 5 seconds","6th request is rejected, 11th request allowed after 5 seconds"
HARD - System Design,Cache Invalidation Strategy,"User updates profile (cache exists), other users request profile","Design includes TTL expiration, event-based invalidation, or version control"
